side,path,bytes,sha256,creation_utc,modified_utc
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/references/hitl-workflow.md,4336,F80B5195F3E24623C316799ABFB0EEEFC9F36A6E58CF37034D87D3A87C86DFA3,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/references/writeback-api.md,5423,257A42CCA7C2F4E3341AF34EED62AECDF3631C78B2A4F23256C1B6A6EB18679F,2026-08-18T12:18:44.7148187Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/legal-caselaw/_lib/related_precedents.py,14114,8CB46EFECFC69606D2F88CF1B0439767AFBC03DC0D3219B2DEBCAFB844D3B2A1,2026-08-18T12:18:44.7119261Z,2026-08-18T12:18:44.7148187Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/_lib/islands.json,11058,E603FD80EE9A65F914F906FC24FA82E6997A1FB2C4CF7656A9188752C25B423B,2026-08-18T12:18:44.6962017Z,2026-08-18T12:18:44.6962017Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/skills/_lib/legal_search.py,11595,F60D40ACE7E1B0DB13036617B0659C0A12316AB9444EC0FFCD75E222AAE9F621,2026-08-18T12:18:44.6962017Z,2026-08-18T12:18:44.6962017Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/plugins/openlegaldata/.claude-plugin/plugin.json,439,C5FD39B06A8078CC82AE1CB9D9A1B4042AA9997DE5F52B12AE63C13F3641FF20,2026-08-18T12:18:44.6962017Z,2026-08-18T12:18:44.6962017Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-caselaw.zip,11180,26F20C1ECCC8BBAD617CF62E9815D9916011895FBB2A8E3EBA6B8E351AC1F44D,2026-08-18T12:18:44.6824927Z,2026-08-18T12:18:44.6845315Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-citations.zip,13150,159F4122A72B0F1911EFE8CFC3992E4E55F6B99387718E99D1DF80CA1F5BF55A,2026-08-18T12:18:44.6845315Z,2026-08-18T12:18:44.6845315Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-contracts.zip,10830,60F871731E757EE12D03CE745B5D28C45010109B40AFD425A6D81F8D2956104E,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-statutes.zip,10711,833F77B3A61F46693FABCB08FD469E17C383D8E214083D17F7BD51D0827FDB6A,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/legal-world.zip,10889,23CDAB166D96A609BC40AA2661DCB5E1ED66B1672382ED9166800E62E37B73E0,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/dist/openlegaldata-skills-all.zip,47190,69394434FE7B6C5F4DD4ED6CAABEEBEE3C80BF3EC2AEF798B34D4F949DFA05F4,2026-08-18T12:18:44.6865720Z,2026-08-18T12:18:44.6865720Z
Legal-desktop,donors/OpenLegalDataSkills-main/OpenLegalDataSkills-main/.claude-plugin/marketplace.json,443,97E179918964BDE241A69677D4402A7A8F618D6477C2D4912DFC16E7A02E59B3,2026-08-18T12:18:44.6763836Z,2026-08-18T12:18:44.6763836Z
Legal-desktop,donors/Legal guidance/Genesee_Custody_CaseLaw_and_Statutes_Master_Reference.html,93612,BA9698E971E1F861D38DEFBB6FF96AA871AB9CC5EDE574C094FBA57D9857F712,2026-08-18T12:18:47.8721682Z,2026-08-18T12:18:47.8721682Z
Legal-desktop,donors/Legal guidance/Genesee_Custody_Supplement_II_Validation_and_Expansion.md,26621,7A59C2E400FB9C9F570A0C77FA52D105DC6FDB8E9717CF047B896115EC36B896,2026-08-18T12:18:47.8792871Z,2026-08-18T12:18:47.8792871Z
Legal-desktop,donors/Legal guidance/Genesee_Custody_Supplement_III_Coercive_Control_and_Sabotage.html,28305,63445FB7F5BB92B099272400C3F0D41CA2EEB5514D03FEA92FE0C1A658A8832A,2026-08-18T12:18:47.8721682Z,2026-08-18T12:18:47.8721682Z
Legal-desktop,donors/irac-practice/irac-practice/SKILL.md,10447,BA620C957859A4BFBD2C9E34E5C94D2B1C3325FC534542A2E4EBFCBD2AE6825F,2026-08-18T12:18:47.8721682Z,2026-08-18T12:18:47.8721682Z
Legal-desktop,donors/hallucination-taxonomy/hallucination-taxonomy/SKILL.md,4141,F801545E7908BE84426034310226949072309B1385D42198AB0EFDD0B595DA00,2026-08-18T12:18:47.8634607Z,2026-08-18T12:18:47.8634607Z
Legal-desktop,donors/generate-hypothetical-scotus-ruling/generate-hypothetical-scotus-ruling/SKILL.md,5004,7DC26829B8013268471F197741196154354626EB1F53B6F91A18D5ABAF7A0835,2026-08-18T12:18:47.8634607Z,2026-08-18T12:18:47.8634607Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/SKILL.md,5771,E8F48EE03BFADC90EFAAFB6E27567ED7941D3C0B848A9A09592A7D51A1D39245,2026-08-18T12:18:47.8634607Z,2026-08-18T12:18:47.8634607Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/scripts/data_profiler.py,4025,91CD28704EE99580973A2D18F425614D35A2175CC7214081D412CA539F245208,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8476456Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/scripts/html_report_generator.py,3592,4F4FB0D825F742A3F5B6AF8F1EE0366986BAA2A1BE1D69064165B77700E32DEF,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8476456Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/scripts/json_transformer.py,4468,59A791453197B4730A8328670AE8056F192ED1086B6E127103332B5DE20B5655,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8634607Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/references/data_quality_checks.md,2738,D3A9C97CB9F5C67ABEC20422C7E24382D42D8D3144958D415901BEDCD22BF43B,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8476456Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/references/duckdb_patterns.md,2929,4BF8CE248E1578022B774121BE8C506D69441AB0409B6ECBC003EAACFBE1A0C6,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8476456Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/references/json_functions.md,2876,C3B5D123A695B2978ECBE0F45C9764AF3E3D41B3FFE118305C1E3EB577E80756,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8476456Z
Legal-desktop,donors/duckdb-data-explorer/duckdb-data-explorer/assets/report_template.html,2993,04EBD9111CD65FAA914AE05109F29DEF5E7F11DFF49F1882B059A59A8B8011EE,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8476456Z
Legal-desktop,donors/decision-record-verification/decision-record-verification/SKILL.md,4616,8DA43078596849F5C9E7A345C57C31C1512ACDBE5BC9093B9677B536E280A3AD,2026-08-18T12:18:47.8476456Z,2026-08-18T12:18:47.8476456Z
Legal-desktop,donors/cold-start-interview/cold-start-interview/SKILL.md,47466,F77B33220D17B4959C52959E2B4D3B80D993B4EA219BC8845C908B00DEBA160C,2026-08-18T12:18:47.8460794Z,2026-08-18T12:18:47.8460794Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/.gitignore,86,7A916A5B2ABDE9E5C3BB786DBE676DB0CEB5DDA0FAB93894D4F93147D54835D3,2026-08-18T12:18:44.7376174Z,2026-08-18T12:18:44.7376174Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/changelog.md,2004,C8A3C36DC802C7B7F9972E84020C5D07F74B272C92E8103D2FD2B4B200CCEFA0,2026-08-18T12:18:44.7473816Z,2026-08-18T12:18:44.7473816Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/CITATION.cff,1113,142895B02ABFA81784A0070551C0706E0360D420F21D14CA70CDD6A7E2B06C16,2026-08-18T12:18:44.7437934Z,2026-08-18T12:18:44.7458269Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/LICENSE,1069,B0E0AA46C8F07BEF2E268AD2E9642B4437C3D525E29A32F872684254678D06BF,2026-08-18T12:18:44.7458269Z,2026-08-18T12:18:44.7458269Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/llms.txt,5206,C50F73EEB1132F87864DBB6475DFE6D2D8F32AA908849C3ED3435D7C09D47D27,2026-08-18T12:18:44.7595700Z,2026-08-18T12:18:44.7595700Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/package.json,165,A528773609F1A9ABAD68795A032C46EBC270C8CAABDAF2BED3C97629E50D498C,2026-08-18T12:18:44.7595700Z,2026-08-18T12:18:44.7595700Z
